"page_domain","3p_request_domain","3p_domain_owner","3p_domain_owner_country"
"bachheimer.com","gstatic.com","Google","US"
"bachheimer.com","gvs-bullion.com","",""
"bachheimer.com","tradingview-widget.com","",""
"bachheimer.com","tradingview.com","",""
"berlinjournal.biz","doubleclick.net","DoubleClick","US"
"berlinjournal.biz","facebook.com","Facebook","US"
"berlinjournal.biz","facebook.net","Facebook","US"
"berlinjournal.biz","fbcdn.net","Facebook","US"
"berlinjournal.biz","google-analytics.com","Google Analytics","US"
"berlinjournal.biz","googleapis.com","Google APIs","US"
"berlinjournal.biz","googletagmanager.com","Google Tag Manager","US"
"berlinjournal.biz","gstatic.com","Google","US"
"bildblog.de","googleapis.com","Google APIs","US"
"bildblog.de","typekit.net","Adobe Fonts","US"
"bildblog.de","vgwort.de","",""
"blauenarzisse.de","bootstrapcdn.com","StackPath","US"
"blauenarzisse.de","googleapis.com","Google APIs","US"
"blauenarzisse.de","gstatic.com","Google","US"
"blauenarzisse.de","wp.com","Wordpress","US"
"blogspot.com","addthis.com","AddThis","US"
"blogspot.com","addthisedge.com","AddThis","US"
"blogspot.com","amazon-adsystem.com","Amazon Marketing Services","US"
"blogspot.com","assoc-amazon.com","",""
"blogspot.com","blogblog.com","Blogger","US"
"blogspot.com","blogger.com","Blogger","US"
"blogspot.com","bookcdn.com","",""
"blogspot.com","booked.net","",""
"blogspot.com","doubleclick.net","DoubleClick","US"
"blogspot.com","facebook.com","Facebook","US"
"blogspot.com","facebook.net","Facebook","US"
"blogspot.com","ggpht.com","Google","US"
"blogspot.com","google-analytics.com","Google Analytics","US"
"blogspot.com","google.ch","Google","US"
"blogspot.com","google.com","Google","US"
"blogspot.com","googleadservices.com","AdSense","US"
"blogspot.com","googleapis.com","Google APIs","US"
"blogspot.com","googlecode.com","",""
"blogspot.com","googlesyndication.com","AdSense","US"
"blogspot.com","googleusercontent.com","Google","US"
"blogspot.com","googlevideo.com","Google Video","US"
"blogspot.com","gstatic.com","Google","US"
"blogspot.com","iraqbodycount.org","",""
"blogspot.com","moatads.com","Moat","US"
"blogspot.com","nachdenkseiten.de","",""
"blogspot.com","net-news-express.de","",""
"blogspot.com","paypal.com","",""
"blogspot.com","paypalobjects.com","",""
"blogspot.com","radio-utopie.de","",""
"blogspot.com","revolvermaps.com","",""
"blogspot.com","ssl-images-amazon.com","Amazon","US"
"blogspot.com","statcounter.com","Statcounter","IE"
"blogspot.com","twitter.com","Twitter","US"
"blogspot.com","twittercounter.com","",""
"blogspot.com","tynt.com","33Across","US"
"blogspot.com","youtube.com","YouTube","US"
"blogspot.com","ytimg.com","YouTube","US"
"cashkurs.com","boerse-go.de","",""
"cashkurs.com","cloudflare.com","Cloudflare","US"
"cashkurs.com","guidants.com","",""
"cashkurs.com","plyr.io","",""
"cicero.de","2mdn.net","DoubleClick","US"
"cicero.de","360yield.com","Improve Digital","NL"
"cicero.de","adform.net","AdForm","DK"
"cicero.de","adition.com","Adition Technologies","DE"
"cicero.de","adkernel.com","",""
"cicero.de","adnxs.com","Xandr","US"
"cicero.de","adscale.de","AdScale","DE"
"cicero.de","adsrvr.org","The Trade Desk","US"
"cicero.de","agkn.com","Neustar Marketing","US"
"cicero.de","amazon-adsystem.com","Amazon Marketing Services","US"
"cicero.de","ampproject.org","Amp Project","US"
"cicero.de","awin1.com","AWIN","DE"
"cicero.de","bic-media.com","",""
"cicero.de","bidr.io","Beeswax","US"
"cicero.de","bidswitch.net","Bidswitch","US"
"cicero.de","bootstrapcdn.com","StackPath","US"
"cicero.de","casalemedia.com","Index Exchange","CA"
"cicero.de","confiant-integrations.net","",""
"cicero.de","conrad.ch","",""
"cicero.de","criteo.com","Criteo","FR"
"cicero.de","criteo.net","Criteo","FR"
"cicero.de","crwdcntrl.net","Lotame","US"
"cicero.de","de17a.com","",""
"cicero.de","doubleclick.net","DoubleClick","US"
"cicero.de","etracker.com","etracker","DE"
"cicero.de","etracker.de","etracker","DE"
"cicero.de","google-analytics.com","Google Analytics","US"
"cicero.de","google.ch","Google","US"
"cicero.de","google.com","Google","US"
"cicero.de","googleapis.com","Google APIs","US"
"cicero.de","googlesyndication.com","AdSense","US"
"cicero.de","googletagmanager.com","Google Tag Manager","US"
"cicero.de","googletagservices.com","Google Tag Manager","US"
"cicero.de","ibillboard.com","",""
"cicero.de","indexww.com","Index Exchange","CA"
"cicero.de","jsdelivr.net","jsDelivr","US"
"cicero.de","linkedin.com","LinkedIn","US"
"cicero.de","m6r.eu","Ströer","DE"
"cicero.de","mathtag.com","Media Math","US"
"cicero.de","matomo.cloud","",""
"cicero.de","mookie1.com","Xaxis","US"
"cicero.de","nativendo.de","",""
"cicero.de","omnitagjs.com","ADYOULIKE","US"
"cicero.de","onaudience.com","OnAudience","UK"
"cicero.de","openx.net","OpenX","US"
"cicero.de","otto.de","",""
"cicero.de","privacy-mgmt.com","",""
"cicero.de","pubmatic.com","PubMatic","US"
"cicero.de","quantserve.com","Quantcast","US"
"cicero.de","redintelligence.net","",""
"cicero.de","rubiconproject.com","Rubicon Project","US"
"cicero.de","sharethrough.com","Sharethrough","US"
"cicero.de","signalize.com","",""
"cicero.de","simpli.fi","simpli.fi","US"
"cicero.de","smaato.net","",""
"cicero.de","smartadserver.com","Smart AdServer","FR"
"cicero.de","sportradarserving.com","",""
"cicero.de","taboola.com","Taboola","US"
"cicero.de","tapad.com","TapAd","US"
"cicero.de","teads.tv","Teads","US"
"cicero.de","trafficroots.com","",""
"cicero.de","tremorhub.com","Tremor Video","US"
"cicero.de","turn.com","Turn","US"
"cicero.de","userreport.com","",""
"cicero.de","xplosion.de","xplosion Interactive","DE"
"cicero.de","yahoo.com","Yahoo","US"
"cicero.de","yieldlove-ad-serving.net","",""
"cicero.de","yieldlove.com","",""
"compact-online.de","doubleclick.net","DoubleClick","US"
"compact-online.de","google-analytics.com","Google Analytics","US"
"compact-online.de","google.ch","Google","US"
"compact-online.de","google.com","Google","US"
"compact-online.de","googletagmanager.com","Google Tag Manager","US"
"compact-online.de","onesignal.com","",""
"daslamm.ch","onesignal.com","",""
"daslamm.ch","stripe.com","",""
"daslamm.ch","stripe.network","",""
"derfunke.at","fbcdn.net","Facebook","US"
"derfunke.at","fontawesome.com","Fonticons","US"
"derfunke.at","google-analytics.com","Google Analytics","US"
"derfunke.at","googleapis.com","Google APIs","US"
"derfunke.at","gstatic.com","Google","US"
"derfunke.at","youtube.com","YouTube","US"
"derwaechter.net","doubleclick.net","DoubleClick","US"
"derwaechter.net","google-analytics.com","Google Analytics","US"
"derwaechter.net","google.ch","Google","US"
"derwaechter.net","google.com","Google","US"
"derwaechter.net","googleadservices.com","AdSense","US"
"derwaechter.net","googleapis.com","Google APIs","US"
"derwaechter.net","googlesyndication.com","AdSense","US"
"derwaechter.net","gstatic.com","Google","US"
"derwaechter.net","onesignal.com","",""
"deutsche-mittelstands-nachrichten.de","doubleclick.net","DoubleClick","US"
"deutsche-mittelstands-nachrichten.de","facebook.com","Facebook","US"
"deutsche-mittelstands-nachrichten.de","facebook.net","Facebook","US"
"deutsche-mittelstands-nachrichten.de","fbcdn.net","Facebook","US"
"deutsche-mittelstands-nachrichten.de","google-analytics.com","Google Analytics","US"
"deutsche-mittelstands-nachrichten.de","google.ch","Google","US"
"deutsche-mittelstands-nachrichten.de","google.com","Google","US"
"deutsche-mittelstands-nachrichten.de","googleadservices.com","AdSense","US"
"deutsche-mittelstands-nachrichten.de","googleapis.com","Google APIs","US"
"deutsche-mittelstands-nachrichten.de","googlesyndication.com","AdSense","US"
"deutsche-mittelstands-nachrichten.de","googletagservices.com","Google Tag Manager","US"
"deutsche-mittelstands-nachrichten.de","gstatic.com","Google","US"
"deutsche-wirtschafts-nachrichten.de","2mdn.net","DoubleClick","US"
"deutsche-wirtschafts-nachrichten.de","adition.com","Adition Technologies","DE"
"deutsche-wirtschafts-nachrichten.de","createjs.com","CreateJS","CA"
"deutsche-wirtschafts-nachrichten.de","doubleclick.net","DoubleClick","US"
"deutsche-wirtschafts-nachrichten.de","google-analytics.com","Google Analytics","US"
"deutsche-wirtschafts-nachrichten.de","google.ch","Google","US"
"deutsche-wirtschafts-nachrichten.de","google.com","Google","US"
"deutsche-wirtschafts-nachrichten.de","googleapis.com","Google APIs","US"
"deutsche-wirtschafts-nachrichten.de","googlesyndication.com","AdSense","US"
"deutsche-wirtschafts-nachrichten.de","googletagmanager.com","Google Tag Manager","US"
"deutsche-wirtschafts-nachrichten.de","googletagservices.com","Google Tag Manager","US"
"deutsche-wirtschafts-nachrichten.de","wallstreet-online.de","",""
"deutsche-wirtschafts-nachrichten.de","yieldlab.net","Yieldlab","DE"
"deutschelobby.com","resultboiji.com","",""
"deutschlandkurier.de","google-analytics.com","Google Analytics","US"
"deutschlandkurier.de","google.com","Google","US"
"deutschlandkurier.de","googleapis.com","Google APIs","US"
"deutschlandkurier.de","googletagmanager.com","Google Tag Manager","US"
"deutschlandkurier.de","gstatic.com","Google","US"
"diefreiemeinung.de","beratungsflat.de","",""
"diefreiemeinung.de","blogcounter.de","",""
"diefreiemeinung.de","bloggeramt.de","",""
"diefreiemeinung.de","doubleclick.net","DoubleClick","US"
"diefreiemeinung.de","google.ch","Google","US"
"diefreiemeinung.de","google.com","Google","US"
"diefreiemeinung.de","googleadservices.com","AdSense","US"
"diefreiemeinung.de","googleapis.com","Google APIs","US"
"diefreiemeinung.de","googlesyndication.com","AdSense","US"
"diefreiemeinung.de","gstatic.com","Google","US"
"diefreiemeinung.de","net-news-express.de","",""
"diefreiemeinung.de","printfriendly.com","",""
"diefreiemeinung.de","topblogs.de","",""
"diefreiemeinung.de","topnewsinfo.de","",""
"dieunbestechlichen.com","doubleclick.net","DoubleClick","US"
"dieunbestechlichen.com","google-analytics.com","Google Analytics","US"
"dieunbestechlichen.com","googletagmanager.com","Google Tag Manager","US"
"dieunbestechlichen.com","onesignal.com","",""
"dieunbestechlichen.com","trustedshops.com","Trusted Shops","DE"
"dieunbestechlichen.com","wp.com","Wordpress","US"
"dossier.at","google-analytics.com","Google Analytics","US"
"dossier.at","googletagmanager.com","Google Tag Manager","US"
"dossier.at","typekit.net","Adobe Fonts","US"
"ef-magazin.de","doubleclick.net","DoubleClick","US"
"ef-magazin.de","google.ch","Google","US"
"ef-magazin.de","google.com","Google","US"
"ef-magazin.de","googleadservices.com","AdSense","US"
"ef-magazin.de","googlesyndication.com","AdSense","US"
"eingeschenkt.tv","cdninstagram.com","Instagram","US"
"eingeschenkt.tv","googleapis.com","Google APIs","US"
"eingeschenkt.tv","gstatic.com","Google","US"
"einprozent.de","gstatic.com","Google","US"
"einprozent.de","jsdelivr.net","jsDelivr","US"
"einprozent.de","lbry.com","",""
"einprozent.de","odycdn.com","",""
"einprozent.de","odysee.com","",""
"einprozent.de","odysee.tv","",""
"epochtimes.de","cookiebot.eu","",""
"eulu.info","bootstrapcdn.com","StackPath","US"
"eulu.info","cloudflare.com","Cloudflare","US"
"eulu.info","doubleclick.net","DoubleClick","US"
"eulu.info","facebook.com","Facebook","US"
"eulu.info","facebook.net","Facebook","US"
"eulu.info","ggpht.com","Google","US"
"eulu.info","google.com","Google","US"
"eulu.info","googleapis.com","Google APIs","US"
"eulu.info","gstatic.com","Google","US"
"eulu.info","youtube.com","YouTube","US"
"eulu.info","ytimg.com","YouTube","US"
"expresszeitung.com","cloudflare.com","Cloudflare","US"
"expresszeitung.com","doubleclick.net","DoubleClick","US"
