"percent_total","domain","owner","owner_country","owner_lineage"
"2.78","pinterest.com","Pinterest","US","Pinterest"
"2.78","playground.xyz","","",""
"2.78","privacy-mgmt.com","","",""
"2.78","pubtagmanager.com","","",""
"2.78","rfihub.com","Rocketfuel","US","Rocketfuel > Sizmek > Amazon"
"2.78","richaudience.com","","",""
"2.78","rqtrk.eu","","",""
"2.78","sddan.com","","",""
"2.78","semasio.net","Semasio","DE","Semasio"
"2.78","sharethrough.com","Sharethrough","US","Sharethrough"
"2.78","sitescout.com","SiteScout","US","SiteScout > Centro"
"2.78","stickyadstv.com","StickyADS.tv","US","StickyADS.tv > Comcast"
"2.78","themoneytizer.com","","",""
"2.78","tidaltv.com","Videology Group","US","Videology Group > Amobee > Singtel"
"2.78","tmyzer.com","","",""
"2.78","truffle.bid","","",""
"2.78","tynt.com","33Across","US","33Across"
"2.78","typekit.net","Adobe Fonts","US","Adobe Fonts > Adobe Systems"
"2.78","vidoomy.com","","",""
"2.78","walmart.com","Walmart","US","Walmart"
"2.78","weborama.fr","Weborama","FR","Weborama"
"2.78","widespace.com","","",""
"2.78","zemanta.com","","",""
"2.08","a-mo.net","","",""
"2.08","admedo.com","","",""
"2.08","adnxs-simple.com","","",""
"2.08","assoc-amazon.com","","",""
"2.08","cleverpush.com","","",""
"2.08","cloudflareinsights.com","","",""
"2.08","connectad.io","","",""
"2.08","cookieless-data.com","","",""
"2.08","creative-serving.com","","",""
"2.08","criteo.net","Criteo","FR","Criteo"
"2.08","inmobi.com","Inmobi","IN","Inmobi"
"2.08","mailerlite.com","","",""
"2.08","outbrainimg.com","","",""
"2.08","printfriendly.com","","",""
"2.08","smaato.net","","",""
"2.08","smilewanted.com","","",""
"2.08","sportradarserving.com","","",""
"2.08","telegram-cdn.org","","",""
"2.08","tremorhub.com","Tremor Video","US","Tremor Video > Taptica > Marimedia"
"2.08","vitaminum.net","","",""
"2.08","w.org","Wordpress","US","Wordpress > Automattic"
"2.08","yieldlove-ad-serving.net","","",""
"2.08","yieldlove.com","","",""
"1.39","33across.com","33Across","US","33Across"
"1.39","ad4m.at","","",""
"1.39","addthisedge.com","AddThis","US","AddThis > Oracle Data Cloud > Oracle"
"1.39","adkernel.com","","",""
"1.39","admanmedia.com","","",""
"1.39","adpartner.pro","","",""
"1.39","adscale.de","AdScale","DE","AdScale > Check Point"
"1.39","adtarget.com.tr","","",""
"1.39","adtelligent.com","","",""
"1.39","amazonaws.com","Amazon Web Services","US","Amazon Web Services > Amazon"
"1.39","awin1.com","AWIN","DE","AWIN > Axel Springer"
"1.39","blogger.com","Blogger","US","Blogger > Google > Alphabet"
"1.39","cdntrf.com","","",""
"1.39","confiant-integrations.net","","",""
"1.39","conrad.ch","","",""
"1.39","disqus.com","Disqus","US","Disqus > Zeta Global"
"1.39","e-volution.ai","","",""
"1.39","eyeota.net","Eyeota","SG","Eyeota"
