"percent_total","domain","owner","owner_country","owner_lineage"
"3.78","rfihub.com","Rocketfuel","US","Rocketfuel > Sizmek > Amazon"
"3.78","w.org","Wordpress","US","Wordpress > Automattic"
"3.78","yandex.ru","Yandex","RU","Yandex"
"3.78","zemanta.com","","",""
"3.36","adingo.jp","Fluct","JP","Fluct"
"3.36","cookielaw.org","","",""
"3.36","jquery.com","JS Foundation","US","JS Foundation"
"3.36","onetrust.com","","",""
"3.36","outbrain.com","Outbrain","US","Outbrain"
"3.36","qccerttest.com","","",""
"3.36","stickyadstv.com","StickyADS.tv","US","StickyADS.tv > Comcast"
"3.36","tremorhub.com","Tremor Video","US","Tremor Video > Taptica > Marimedia"
"3.36","twimg.com","Twitter","US","Twitter"
"2.94","2mdn.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"2.94","avct.cloud","","",""
"2.94","criteo.net","Criteo","FR","Criteo"
"2.94","fontawesome.com","Fonticons","US","Fonticons"
"2.94","googleusercontent.com","Google","US","Google > Alphabet"
"2.94","innovid.com","Innovid","US","Innovid"
"2.94","media.net","Media.net","US","Media.net"
"2.94","pinterest.com","Pinterest","US","Pinterest"
"2.94","sharethrough.com","Sharethrough","US","Sharethrough"
"2.52","demdex.net","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Experience Cloud > Adobe Systems"
"2.52","fwmrm.net","FreeWheel","US","FreeWheel > Comcast"
"2.52","mpod.ch","","",""
"2.52","paypal.com","","",""
"2.52","tapad.com","TapAd","US","TapAd > Telenor"
"2.52","vidoomy.com","","",""
"2.1","a-mo.net","","",""
"2.1","ad.style","","",""
"2.1","admedo.com","","",""
"2.1","akamaized.net","Akamai","US","Akamai"
"2.1","bing.com","Bing","US","Bing > Microsoft"
"2.1","bluekai.com","Oracle Blue Kai","US","Oracle Blue Kai > Oracle Data Cloud > Oracle"
"2.1","chartbeat.com","Chartbeat","US","Chartbeat"
"2.1","chartbeat.net","Chartbeat","US","Chartbeat"
"2.1","cloudflareinsights.com","","",""
"2.1","connectad.io","","",""
"2.1","emxdgt.com","Engine Media Exchange","US","Engine Media Exchange"
"2.1","gemius.pl","Gemius","PL","Gemius"
"2.1","indexww.com","Index Exchange","CA","Index Exchange"
"2.1","inmobi.com","Inmobi","IN","Inmobi"
"2.1","liadm.com","LiveIntent","US","LiveIntent"
"2.1","mfadsrvr.com","","",""
"2.1","pubtagmanager.com","","",""
"2.1","richaudience.com","","",""
"2.1","smaato.net","","",""
"2.1","smilewanted.com","","",""
"2.1","sportradarserving.com","","",""
"2.1","spotxchange.com","Spot X Change","US","Spot X Change"
"2.1","telegram-cdn.org","","",""
"2.1","wordpress.com","Wordpress","US","Wordpress > Automattic"
"2.1","yieldlove-ad-serving.net","","",""
"2.1","yieldlove.com","","",""
"2.1","yieldmo.com","Yieldmo","US","Yieldmo"
"1.68","addtoany.com","","",""
"1.68","adsafeprotected.com","Integral Ad Science","US","Integral Ad Science"
"1.68","adscale.de","AdScale","DE","AdScale > Check Point"
"1.68","ampproject.org","Amp Project","US","Amp Project > Google > Alphabet"
"1.68","betweendigital.com","","",""
"1.68","blogger.com","Blogger","US","Blogger > Google > Alphabet"
"1.68","cleverpush.com","","",""
"1.68","creative-serving.com","","",""
"1.68","dyntrk.com","Dynadmic","FR","Dynadmic"
"1.68","e-planning.net","","",""
"1.68","exelator.com","exelate","US","exelate > Nielsen Online"
"1.68","fastly.net","Fastly","US","Fastly"
"1.68","imrworldwide.com","Nielsen Online","US","Nielsen Online"
"1.68","krxd.net","Salesforce DMP","US","Salesforce DMP > Salesforce"
"1.68","mailerlite.com","","",""
"1.68","media-amazon.com","Amazon","US","Amazon"
"1.68","moatads.com","Moat","US","Moat > Oracle Data Cloud > Oracle"
"1.68","opera.com","","",""
"1.68","prodara.de","","",""
"1.68","quantcast.com","Quantcast","US","Quantcast"
"1.68","recaptcha.net","","",""
