"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"7.56","https://static.doubleclick.net/instream/ad_status.js","script","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"7.56","https://stats.wp.com/e-202239.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"7.56","https://tpc.googlesyndication.com/pagead/js/r20220921/r20110914/client/load_preloaded_resource_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"7.56","https://www.facebook.com/tr/","image","facebook.com","Facebook","US","Facebook"
"7.56","https://www.gstatic.com/recaptcha/releases/ovmhLiigaw4D9ujHYlHcKKhP/recaptcha__de.js","script","gstatic.com","Google","US","Google > Alphabet"
"7.56","https://www.youtube.com/s/player/abfb84fe/fetch-polyfill.vflset/fetch-polyfill.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"7.56","https://www.youtube.com/s/player/abfb84fe/player_ias.vflset/de_DE/base.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"7.56","https://www.youtube.com/s/player/abfb84fe/player_ias.vflset/de_DE/embed.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"7.56","https://www.youtube.com/s/player/abfb84fe/www-embed-player.vflset/www-embed-player.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"7.56","https://www.youtube.com/s/player/abfb84fe/www-player.css","stylesheet","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"7.56","https://www.youtube.com/youtubei/v1/log_event","xhr","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"7.14","https://ib.adnxs.com/getuid","image","adnxs.com","Xandr","US","Xandr > AT&T"
"7.14","https://match.adsrvr.org/track/cmf/generic","image","adsrvr.org","The Trade Desk","US","The Trade Desk"
"7.14","https://pixel.rubiconproject.com/exchange/sync.php","image","rubiconproject.com","Rubicon Project","US","Rubicon Project"
"7.14","https://sync.mathtag.com/sync/img","image","mathtag.com","Media Math","US","Media Math"
"7.14","https://www.gstatic.com/mysidia/b6810b6596f7ed55ed76c68d0358aca1.js","script","gstatic.com","Google","US","Google > Alphabet"
"7.14","https://x.bidswitch.net/sync","image","bidswitch.net","Bidswitch","US","Bidswitch > IPONWEB"
"6.72","https://googleads.g.doubleclick.net/pagead/adview","fetch","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"6.72","https://www.youtube.com/generate_204","image","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"6.3","https://fonts.googleapis.com/css2","stylesheet","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"6.3","https://image2.pubmatic.com/AdServer/Pug","image","pubmatic.com","PubMatic","US","PubMatic"
"6.3","https://pagead2.googlesyndication.com/pagead/managed/js/adsense/m202209120102/show_ads_impl_fy2021.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"6.3","https://play.google.com/log","other","google.com","Google","US","Google > Alphabet"
"6.3","https://play.google.com/log","xhr","google.com","Google","US","Google > Alphabet"
"6.3","https://rtb.openx.net/sync/dds","image","openx.net","OpenX","US","OpenX"
"6.3","https://www.google.com/ads/measurement/l","image","google.com","Google","US","Google > Alphabet"
"6.3","https://www.gstatic.com/recaptcha/releases/ovmhLiigaw4D9ujHYlHcKKhP/styles__ltr.css","stylesheet","gstatic.com","Google","US","Google > Alphabet"
"6.3","https://www.youtube.com/s/player/abfb84fe/player_ias.vflset/de_DE/remote.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"6.3","https://x.bidswitch.net/ul_cb/sync","image","bidswitch.net","Bidswitch","US","Bidswitch > IPONWEB"
"5.88","https://connect.facebook.net/de_DE/sdk.js","script","facebook.net","Facebook","US","Facebook"
"5.88","https://dsum-sec.casalemedia.com/rrum","image","casalemedia.com","Index Exchange","CA","Index Exchange"
"5.88","https://ib.adnxs.com/ut/v3/prebid","xhr","adnxs.com","Xandr","US","Xandr > AT&T"
"5.88","https://image4.pubmatic.com/AdServer/SPug","image","pubmatic.com","PubMatic","US","PubMatic"
"5.88","https://mwzeom.zeotap.com/mw","image","zeotap.com","Zeotap","DE","Zeotap"
"5.88","https://secure.adnxs.com/getuid","image","adnxs.com","Xandr","US","Xandr > AT&T"
"5.88","https://securepubads.g.doubleclick.net/pagead/ppub_config","xhr","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
