"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"1.26","https://connect.facebook.net/signals/plugins/identity.js","script","facebook.net","Facebook","US","Facebook"
"1.26","https://d2zur9cc2gf1tx.cloudfront.net/a96081b6-db78-48c4-9f82-b93e316fb1f7/notifyme.js","script","cloudfront.net","Amazon","US","Amazon"
"1.26","https://fundingchoicesmessages.google.com/f/AGSKWxW-2D-NpOj-Hh67ZS7JVI4_Q0GEMemkPkF9m__v_6YFUh1r7KgeU9oTjsajdLc_nxARZIXW4BDHXowiQDVBBI8=","script","google.com","Google","US","Google > Alphabet"
"1.26","https://fundingchoicesmessages.google.com/i/ca-pub-3302480003740290","script","google.com","Google","US","Google > Alphabet"
"1.26","https://go.ezodn.com/hb/dall.js","script","ezodn.com","","",""
"1.26","https://hbx.media.net/pubcid.php","script","media.net","Media.net","US","Media.net"
"1.26","https://ib.adnxs.com/bounce","script","adnxs.com","Xandr","US","Xandr > AT&T"
"1.26","https://js.adscale.de/match.js","script","adscale.de","AdScale","DE","AdScale > Check Point"
"1.26","https://m.addthis.com/live/red_lojson/300lo.json","script","addthis.com","AddThis","US","AddThis > Oracle Data Cloud > Oracle"
"1.26","https://mc.yandex.ru/metrika/watch.js","script","yandex.ru","Yandex","RU","Yandex"
"1.26","https://nugmw.userreport.com/rc-ap/0/si.nuggad.net/nuggad","script","userreport.com","","",""
"1.26","https://onesignal.com/api/v1/sync/6c9855ef-7502-4b16-bb8e-d2af436a9cea/web","script","onesignal.com","","",""
"1.26","https://pagead2.googlesyndication.com/pagead/js/google_top_exp.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"1.26","https://pagead2.googlesyndication.com/pagead/js/r20220921/r20110914/abg_lite.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"1.26","https://pagead2.googlesyndication.com/pagead/js/r20220921/r20110914/elements/html/omrhp.js","script","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"1.26","https://platform.twitter.com/_next/static/chunks/11.5c54907ce47c86c8211d.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/_next/static/chunks/vendors~ondemand.LottieWeb.84a69543ec64b75cae2a.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/embed/embed.Tweet.de62bfb0cc82241a19b2.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/embed/embed.modules.910f200e9d308fda93f9.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/embed/embed.ondemand.Dropdown.3daf543c87f21448ee11.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/embed/embed.ondemand.Tweet.645aa76b1b228c00a71b.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/embed/embed.ondemand.i18n.de-js.ac412ead6a88cadcfb08.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/embed/embed.runtime.25be4b2c17a40dee38d3.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/embed/embed.vendors~ondemand.Tweet.d228297398e1dd8c8b57.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/embed/embed.vendors~ondemand.horizon-web.i18n.ar-js~ondemand.horizon-web.i18n.ar-x-fm-js~ondemand.horizon-web.i1~98d47477.022b10081a82154299a6.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/embed/embed.vendors~ondemand.horizon-web.i18n.de-js.86e60c35b5f1e24f8d9c.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://platform.twitter.com/js/tweet.5b94507822be1b77b58bef86fc7cd9f7.js","script","twitter.com","Twitter","US","Twitter"
"1.26","https://rules.quantcount.com/rules-p-31iz6hfFutd16.js","script","quantcount.com","Quantcast","US","Quantcast"
"1.26","https://rules.quantcount.com/rules-p-6Fv0cGNfc_bw8.js","script","quantcount.com","Quantcast","US","Quantcast"
"1.26","https://s.pinimg.com/ct/core.js","script","pinimg.com","Pinterest","US","Pinterest"
"1.26","https://s.pinimg.com/ct/lib/main.8f82d377.js","script","pinimg.com","Pinterest","US","Pinterest"
"1.26","https://s0.wp.com/wp-content/blog-plugins/wordads-classes/js/app.bundle.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"1.26","https://s0.wp.com/wp-content/blog-plugins/wordads-classes/js/notice.bundle.js","script","wp.com","Wordpress","US","Wordpress > Automattic"
"1.26","https://sak.userreport.com/sdm/launcher.js","script","userreport.com","","",""
"1.26","https://script.4dex.io/localstore.js","script","4dex.io","","",""
"1.26","https://script.hotjar.com/modules.01a02f6e8b126e8c8358.js","script","hotjar.com","Hotjar","MT","Hotjar"
"1.26","https://secure.adnxs.com/seg","script","adnxs.com","Xandr","US","Xandr > AT&T"
"1.26","https://served-by.pixfuture.com/www/delivery/headerbid.js","script","pixfuture.com","","",""
"1.26","https://spl.zeotap.com/mapper.js","script","zeotap.com","Zeotap","DE","Zeotap"
